subEventName,description,count
Simple pass,Accurate,40231.0
Touch,No specific tags,3517.0
Simple pass,Not accurate,2977.0
Air duel,"Won, Accurate",2420.0
Throw in,Accurate,2359.0
Air duel,"Lost, Not accurate",2354.0
High pass,Accurate,2155.0
Touch,Interception,2045.0
Ground loose ball duel,"Lost, Not accurate",1693.0
Ground defending duel,"Neutral, Accurate",1637.0
Ground attacking duel,"Neutral, Accurate",1620.0
Ground loose ball duel,"Won, Accurate",1611.0
Ground defending duel,"Lost, Not accurate",1573.0
Ground attacking duel,"Won, Accurate",1565.0
Foul,No specific tags,1463.0
Head pass,Accurate,1392.0
High pass,Not accurate,1269.0
Free Kick,Accurate,1117.0
Goal kick,No specific tags,1109.0
Ground attacking duel,"Lost, Not accurate",883.0
Ground defending duel,"Won, Accurate",863.0
Head pass,Not accurate,780.0
Clearance,"Interception, Not accurate",772.0
Ground loose ball duel,"Neutral, Accurate",715.0
Acceleration,Accurate,706.0
Simple pass,"Interception, Accurate",692.0
Air duel,"Neutral, Accurate",685.0
Clearance,Not accurate,683.0
Ground attacking duel,"Free space left, Won, Accurate",670.0
Ground attacking duel,"Free space right, Won, Accurate",667.0
Ground defending duel,"Free space left, Lost, Not accurate",658.0
Simple pass,"Counter attack, Accurate",643.0
Launch,Accurate,634.0
Ground defending duel,"Free space right, Lost, Not accurate",623.0
Touch,Missed ball,572.0
Launch,Not accurate,500.0
Head pass,"Interception, Accurate",453.0
Ground attacking duel,"Take on left, Won, Accurate",414.0
Ground defending duel,"Take on right, Lost, Not accurate",411.0
Ground defending duel,"Take on left, Lost, Not accurate",381.0
Ground attacking duel,"Take on right, Won, Accurate",371.0
Hand pass,Accurate,365.0
Cross,"Right foot, High, Not accurate",349.0
High pass,"Through, Not accurate",331.0
Smart pass,"Through, Not accurate",297.0
Clearance,"Interception, Accurate",279.0
Head pass,"Interception, Not accurate",243.0
Throw in,Not accurate,233.0
Ground defending duel,"Anticipated, Won, Accurate",228.0
Ground attacking duel,"Anticipation, Lost, Not accurate",227.0
Cross,"Left foot, High, Not accurate",225.0
Cross,"Right foot, Not accurate",208.0
Corner,"High, Accurate",204.0
Goalkeeper leaving line,No specific tags,203.0
Cross,"Right foot, High, Accurate",202.0
Smart pass,Accurate,198.0
Ground attacking duel,"Take on left, Lost, Not accurate",191.0
Ground defending duel,"Take on right, Won, Accurate",176.0
Corner,"High, Not accurate",171.0
Smart pass,Not accurate,168.0
Foul,Yellow card,164.0
Simple pass,"Interception, Not accurate",163.0
Acceleration,"Counter attack, Accurate",157.0
Cross,"Left foot, Blocked, Not accurate",154.0
Cross,"Right foot, Blocked, Not accurate",151.0
Ground attacking duel,"Take on right, Lost, Not accurate",147.0
Ground defending duel,"Take on left, Won, Accurate",138.0
Cross,"Left foot, Not accurate",136.0
Shot,"Right foot, Blocked, Not accurate",136.0
Clearance,Accurate,134.0
Corner,Accurate,131.0
Cross,"Left foot, High, Accurate",131.0
Smart pass,"Through, Accurate",128.0
Ground attacking duel,"Anticipation, Neutral, Accurate",123.0
Ground attacking duel,"Free space left, Lost, Not accurate",122.0
Ground defending duel,"Anticipated, Neutral, Accurate",121.0
Ground attacking duel,"Free space right, Lost, Not accurate",119.0
Free kick cross,"High, Accurate",118.0
Free kick cross,"High, Not accurate",117.0
Ground defending duel,"Free space right, Won, Accurate",109.0
Ground loose ball duel,"Sliding tackle, Lost, Not accurate",108.0
Shot,"Left foot, Blocked, Not accurate",108.0
Ground defending duel,"Free space left, Won, Accurate",107.0
High pass,"Through, Accurate",107.0
Ground defending duel,"Sliding tackle, Lost, Not accurate",106.0
Ground loose ball duel,"Sliding tackle, Won, Accurate",91.0
Ground attacking duel,"Take on left, Neutral, Accurate",87.0
Ground attacking duel,"Free space left, Neutral, Accurate",83.0
Ground defending duel,"Take on right, Neutral, Accurate",83.0
Touch,Feint,82.0
Free Kick,Not accurate,79.0
Ground defending duel,"Free space right, Neutral, Accurate",79.0
Ground attacking duel,"Interception, Won, Accurate",75.0
Hand foul,No specific tags,74.0
Simple pass,"Key pass, Accurate",73.0
Ground defending duel,"Free space left, Neutral, Accurate",70.0
Ground attacking duel,"Free space right, Neutral, Accurate",69.0
Simple pass,"Fairplay, Not accurate",63.0
Touch,Counter attack,63.0
Simple pass,"Dangerous ball lost, Not accurate",62.0
Cross,"Key pass, Right foot, High, Accurate",62.0
Corner,"Key pass, High, Accurate",62.0
Ground attacking duel,"Take on right, Neutral, Accurate",61.0
Shot,"Right foot, Blocked, Opportunity, Not accurate",59.0
Ground defending duel,"Take on left, Neutral, Accurate",56.0
Simple pass,"Counter attack, Not accurate",54.0
Cross,"Right foot, Accurate",53.0
Ground defending duel,"Sliding tackle, Neutral, Accurate",52.0
High pass,"Counter attack, Accurate",51.0
Shot,"Right foot, Opportunity, Position: Out high right, Not accurate",50.0
Hand pass,"Interception, Accurate",49.0
Shot,"Left foot, Blocked, Opportunity, Not accurate",47.0
Ground attacking duel,"Interception, Neutral, Accurate",47.0
Shot,"Right foot, Position: Out high right, Not accurate",46.0
Acceleration,Not accurate,46.0
Shot,"Right foot, Opportunity, Position: Out low left, Not accurate",46.0
Save attempt,"Position: Goal low center, Accurate",46.0
Reflexes,"Position: Goal low center, Accurate",43.0
Cross,"Left foot, Accurate",43.0
Shot,"Right foot, Opportunity, Position: Goal low center, Accurate",42.0
Ground defending duel,"Counter attack, Won, Accurate",41.0
Ground loose ball duel,"Sliding tackle, Neutral, Accurate",41.0
Save attempt,"Position: Goal center, Accurate",41.0
Touch,"Opportunity, Missed ball",39.0
Launch,"Interception, Not accurate",38.0
Ground defending duel,"Take on right, Sliding tackle, Lost, Not accurate",37.0
Reflexes,"Goal, Position: Goal low left, Not accurate",37.0
Ground defending duel,"Anticipated, Lost, Not accurate",36.0
Ground defending duel,"Sliding tackle, Won, Accurate",34.0
Shot,"Right foot, Opportunity, Position: Out high center, Not accurate",34.0
Ground defending duel,"Take on left, Sliding tackle, Lost, Not accurate",33.0
Free kick cross,"Key pass, High, Accurate",33.0
Ground attacking duel,"Anticipation, Won, Accurate",32.0
Ground defending duel,"Free space right, Sliding tackle, Lost, Not accurate",32.0
Launch,"Interception, Accurate",31.0
Reflexes,"Position: Goal center, Accurate",31.0
High pass,"Interception, Not accurate",31.0
Simple pass,"Counter attack, Interception, Accurate",30.0
Ground attacking duel,"Interception, Lost, Not accurate",30.0
Cross,"Key pass, Left foot, High, Accurate",30.0
Ground attacking duel,"Dangerous ball lost, Lost, Not accurate",30.0
Touch,"Counter attack, Interception",28.0
Ground defending duel,"Free space left, Sliding tackle, Lost, Not accurate",28.0
Ground attacking duel,"Counter attack, Free space right, Won, Accurate",28.0
Ground attacking duel,"Counter attack, Neutral, Accurate",27.0
Shot,"Left foot, Opportunity, Position: Out high left, Not accurate",27.0
Shot,"Left foot, Opportunity, Position: Goal low center, Accurate",27.0
Air duel,"Counter attack, Won, Accurate",27.0
High pass,"Interception, Accurate",27.0
Ground loose ball duel,"Counter attack, Won, Accurate",26.0
Shot,"Right foot, Opportunity, Position: Goal center, Accurate",25.0
Ground defending duel,"Take on right, Anticipated, Lost, Not accurate",25.0
Ground attacking duel,"Counter attack, Lost, Not accurate",25.0
Acceleration,"Interception, Accurate",25.0
Ground attacking duel,"Counter attack, Won, Accurate",25.0
Ground attacking duel,"Counter attack, Free space left, Won, Accurate",25.0
Shot,"Left foot, Opportunity, Position: Out low right, Not accurate",25.0
Clearance,Interception,25.0
Shot,"Head/body, Opportunity, Position: Out high right, Not accurate",24.0
Ground loose ball duel,"Counter attack, Lost, Not accurate",24.0
Smart pass,"Key pass, Through, Accurate",24.0
Ground attacking duel,"Counter attack, Take on left, Won, Accurate",23.0
Shot,"Right foot, Opportunity, Position: Out low right, Not accurate",23.0
Ground attacking duel,"Take on left, Anticipation, Won, Accurate",23.0
Reflexes,"Goal, Position: Goal low center, Not accurate",23.0
Cross,"Key pass, Right foot, Accurate",23.0
Reflexes,"Goal, Position: Goal low right, Not accurate",22.0
Launch,"Fairplay, Not accurate",22.0
Shot,"Head/body, Opportunity, Position: Out high left, Not accurate",21.0
Reflexes,"Position: Goal low left, Accurate",21.0
Save attempt,"Position: Goal low left, Accurate",21.0
Ground attacking duel,"Counter attack, Take on right, Won, Accurate",20.0
Shot,"Head/body, Opportunity, Position: Out low left, Not accurate",20.0
Shot,"Left foot, Opportunity, Position: Goal center, Accurate",20.0
Smart pass,"Counter attack, Through, Not accurate",20.0
Reflexes,"Position: Goal center left, Accurate",20.0
Head pass,"Counter attack, Accurate",19.0
Shot,"Right foot, Opportunity, Position: Goal low left, Accurate",19.0
High pass,"Key pass, Through, Accurate",19.0
Ground defending duel,"Free space right, Anticipated, Lost, Not accurate",19.0
Free kick shot,"Right foot, Direct, Blocked, Not accurate",19.0
Simple pass,"Key pass, Counter attack, Accurate",19.0
Ground defending duel,"Take on right, Sliding tackle, Neutral, Accurate",18.0
Out of game foul,Yellow card,17.0
Reflexes,"Goal, Position: Goal center left, Not accurate",17.0
Cross,"Key pass, Left foot, Accurate",17.0
Reflexes,"Goal, Position: Goal center right, Not accurate",17.0
Shot,"Head/body, Opportunity, Position: Out high center, Not accurate",17.0
Ground defending duel,"Take on left, Anticipated, Lost, Not accurate",17.0
Reflexes,"Goal, Position: Goal center, Not accurate",17.0
Touch,Opportunity,17.0
Ground attacking duel,"Take on right, Anticipation, Won, Accurate",17.0
Simple pass,"Assist, Accurate",16.0
Shot,"Left foot, Position: Out high left, Not accurate",16.0
Shot,"Right foot, Opportunity, Position: Out high left, Not accurate",16.0
Ground attacking duel,"Free space left, Anticipation, Won, Accurate",16.0
Save attempt,"Position: Goal center left, Accurate",16.0
Shot,"Right foot, Opportunity, Position: Goal center right, Accurate",16.0
Reflexes,"Position: Goal center right, Accurate",16.0
Shot,"Head/body, Opportunity, Position: Goal center, Accurate",16.0
Touch,Dangerous ball lost,16.0
Ground defending duel,"Free space left, Anticipated, Lost, Not accurate",16.0
Penalty,"Goal, Right foot, Position: Goal low left, Accurate",15.0
Protest,Yellow card,15.0
Reflexes,"Position: Goal low right, Accurate",15.0
Air duel,"Key pass, Won, Accurate",14.0
Clearance,"Counter attack, Interception, Accurate",14.0
Shot,"Right foot, Opportunity, Position: Out center right, Not accurate",14.0
Reflexes,"Position: Goal high center, Accurate",14.0
Corner,Not accurate,14.0
Ground attacking duel,"Free space right, Anticipation, Won, Accurate",13.0
Shot,"Head/body, Opportunity, Position: Out low right, Not accurate",13.0
Shot,"Head/body, Opportunity, Position: Out center left, Not accurate",13.0
Shot,"Right foot, Position: Out high center, Not accurate",13.0
Smart pass,"Counter attack, Accurate",13.0
Save attempt,"Position: Goal high center, Accurate",13.0
Save attempt,"Position: Goal low right, Accurate",13.0
Shot,"Left foot, Position: Out low right, Not accurate",13.0
Shot,"Right foot, Position: Out low left, Not accurate",13.0
Ground defending duel,"Take on right, Sliding tackle, Won, Accurate",13.0
Throw in,"Fairplay, Not accurate",12.0
Head pass,"Key pass, Accurate",12.0
Shot,"Left foot, Opportunity, Position: Goal low left, Accurate",12.0
Shot,"Goal, Right foot, Opportunity, Position: Goal low left, Accurate",12.0
Ground loose ball duel,"Counter attack, Neutral, Accurate",12.0
Shot,"Right foot, Opportunity, Position: Goal center left, Accurate",12.0
Ground attacking duel,"Take on left, Anticipation, Lost, Not accurate",12.0
Save attempt,Accurate,12.0
Ground attacking duel,"Interception, Free space right, Won, Accurate",12.0
Save attempt,"Position: Goal center right, Accurate",12.0
Ground attacking duel,"Free space left, Anticipation, Lost, Not accurate",11.0
Corner,"Assist, High, Accurate",11.0
Ground defending duel,"Counter attack, Anticipated, Won, Accurate",11.0
Save attempt,"Position: Goal high right, Accurate",11.0
Cross,"Counter attack, Right foot, Not accurate",11.0
Shot,"Right foot, Opportunity, Position: Goal high center, Accurate",11.0
Ground defending duel,"Take on left, Sliding tackle, Won, Accurate",11.0
Reflexes,"Goal, Not accurate",10.0
Ground defending duel,"Take on left, Sliding tackle, Neutral, Accurate",10.0
Shot,"Left foot, Opportunity, Position: Out high center, Not accurate",10.0
Time lost foul,Yellow card,10.0
Smart pass,"Key pass, Accurate",10.0
Shot,"Head/body, Opportunity, Position: Goal center left, Accurate",10.0
Shot,"Left foot, Opportunity, Position: Goal center left, Accurate",10.0
Shot,"Right foot, Opportunity, Position: Out center left, Not accurate",10.0
Shot,"Right foot, Opportunity, Position: Goal low right, Accurate",10.0
Ground defending duel,"Take on left, Anticipated, Won, Accurate",9.0
Reflexes,"Goal, Position: Goal high right, Not accurate",9.0
Shot,"Goal, Head/body, Opportunity, Position: Goal center right, Accurate",9.0
Ground attacking duel,"Interception, Free space left, Won, Accurate",9.0
Ground defending duel,"Free space right, Sliding tackle, Won, Accurate",9.0
Shot,"Head/body, Opportunity, Position: Goal high center, Accurate",9.0
Ground defending duel,"Take on right, Anticipated, Won, Accurate",9.0
Cross,"Assist, Right foot, High, Accurate",9.0
Cross,"Counter attack, Left foot, Not accurate",9.0
Shot,"Left foot, Opportunity, Position: Out low left, Not accurate",9.0
Shot,"Left foot, Opportunity, Position: Goal low right, Accurate",9.0
Head pass,"Counter attack, Interception, Accurate",9.0
Save attempt,"Goal, Position: Goal center right, Not accurate",8.0
Ground defending duel,"Free space right, Sliding tackle, Neutral, Accurate",8.0
Ground attacking duel,"Interception, Take on left, Won, Accurate",8.0
Shot,"Head/body, Opportunity, Position: Goal center right, Accurate",8.0
Ground defending duel,"Counter attack, Lost, Not accurate",8.0
Reflexes,"Goal, Position: Goal high center, Not accurate",8.0
Ground attacking duel,"Take on right, Anticipation, Lost, Not accurate",8.0
Reflexes,Accurate,8.0
High pass,"Counter attack, Not accurate",8.0
Cross,"Counter attack, Right foot, Blocked, Not accurate",8.0
Shot,"Head/body, Blocked, Opportunity, Not accurate",8.0
Ground attacking duel,"Free space left, Anticipation, Neutral, Accurate",8.0
Shot,"Left foot, Opportunity, Position: Out high right, Not accurate",8.0
Ground attacking duel,"Interception, Take on right, Won, Accurate",8.0
Smart pass,"Counter attack, Through, Accurate",8.0
Shot,"Head/body, Opportunity, Position: Out center right, Not accurate",8.0
Reflexes,"Goal, Position: Goal high left, Not accurate",8.0
Air duel,"Counter attack, Lost, Not accurate",8.0
Shot,"Goal, Right foot, Opportunity, Position: Goal low center, Accurate",8.0
Goalkeeper leaving line,Counter attack,8.0
Cross,"Counter attack, Left foot, Blocked, Not accurate",8.0
Ground attacking duel,"Counter attack, Take on right, Lost, Not accurate",7.0
Cross,"Counter attack, Right foot, High, Not accurate",7.0
Ground attacking duel,"Take on right, Anticipation, Neutral, Accurate",7.0
Hand pass,"Counter attack, Accurate",7.0
Shot,"Right foot, Position: Out low right, Not accurate",7.0
Touch,"Own goal, Interception",7.0
Shot,"Counter attack, Left foot, Blocked, Not accurate",7.0
Late card foul,Yellow card,7.0
Shot,"Head/body, Opportunity, Position: Goal low center, Accurate",7.0
Shot,"Goal, Right foot, Opportunity, Position: Goal low right, Accurate",7.0
Ground defending duel,"Free space left, Sliding tackle, Won, Accurate",7.0
Shot,"Left foot, Opportunity, Position: Out center left, Not accurate",7.0
Acceleration,"Counter attack, Not accurate",7.0
Penalty,"Goal, Right foot, Position: Goal low right, Accurate",7.0
Free kick cross,"Assist, High, Accurate",7.0
Simple pass,"Assist, Counter attack, Accurate",7.0
Free kick shot,"Left foot, Direct, Blocked, Not accurate",7.0
Shot,"Counter attack, Right foot, Opportunity, Position: Out high right, Not accurate",7.0
Ground attacking duel,"Interception, Take on left, Lost, Not accurate",7.0
Ground defending duel,"Free space right, Anticipated, Won, Accurate",7.0
Shot,"Right foot, Position: Out high left, Not accurate",7.0
Shot,"Goal, Right foot, Opportunity, Position: Goal center, Accurate",6.0
Shot,"Right foot, Opportunity, Position: Post high left, Not accurate",6.0
Ground defending duel,"Free space left, Anticipated, Neutral, Accurate",6.0
Hand pass,Not accurate,6.0
Hand pass,"Fairplay, Not accurate",6.0
Ground defending duel,"Counter attack, Free space right, Won, Accurate",6.0
Ground defending duel,"Counter attack, Free space left, Won, Accurate",6.0
Ground attacking duel,"Free space right, Anticipation, Neutral, Accurate",6.0
Shot,"Counter attack, Right foot, Opportunity, Position: Goal low center, Accurate",6.0
Ground attacking duel,"Free space right, Anticipation, Lost, Not accurate",6.0
High pass,"Key pass, Accurate",6.0
Shot,"Goal, Left foot, Opportunity, Position: Goal center right, Accurate",6.0
Cross,"Counter attack, Left foot, High, Not accurate",6.0
Free kick cross,Not accurate,6.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Out high left, Not accurate",6.0
Smart pass,"Counter attack, Not accurate",5.0
Ground defending duel,"Free space right, Anticipated, Neutral, Accurate",5.0
Ground defending duel,"Free space left, Sliding tackle, Neutral, Accurate",5.0
High pass,"Interception, Through, Not accurate",5.0
High pass,"Counter attack, Through, Not accurate",5.0
Cross,"Counter attack, Right foot, Accurate",5.0
Shot,"Counter attack, Right foot, Blocked, Not accurate",5.0
Clearance,"Counter attack, Accurate",5.0
Ground attacking duel,"Take on left, Anticipation, Neutral, Accurate",5.0
Free kick cross,Accurate,5.0
Touch,"Counter attack, Missed ball",5.0
Launch,"Counter attack, Accurate",5.0
Ground defending duel,"Take on right, Anticipated, Neutral, Accurate",5.0
Acceleration,"Counter attack, Interception, Accurate",5.0
Head pass,"Counter attack, Not accurate",5.0
Ground attacking duel,"Counter attack, Take on left, Neutral, Accurate",5.0
Clearance,"Counter attack, Interception, Not accurate",5.0
Cross,"Assist, Right foot, Accurate",5.0
Shot,"Counter attack, Left foot, Opportunity, Position: Out high left, Not accurate",5.0
High pass,"Counter attack, Through, Accurate",5.0
Ground defending duel,"Counter attack, Take on right, Won, Accurate",5.0
Save attempt,"Goal, Position: Goal high right, Not accurate",5.0
Shot,"Goal, Left foot, Opportunity, Position: Goal low center, Accurate",5.0
Free kick shot,"Left foot, Direct, Opportunity, Position: Out high center, Not accurate",5.0
Smart pass,"Key pass, Counter attack, Through, Accurate",5.0
Shot,"Left foot, Opportunity, Position: Goal high center, Accurate",5.0
Cross,"Assist, Left foot, Accurate",5.0
Cross,"Head/body, High, Not accurate",5.0
Shot,"Goal, Right foot, Opportunity, Position: Goal center right, Accurate",4.0
Ground defending duel,"Take on left, Anticipated, Neutral, Accurate",4.0
Penalty,"Goal, Right foot, Position: Goal center, Accurate",4.0
Penalty,"Goal, Right foot, Position: Goal center left, Accurate",4.0
Smart pass,"Assist, Through, Accurate",4.0
Shot,"Counter attack, Left foot, Opportunity, Position: Out low right, Not accurate",4.0
Shot,"Goal, Left foot, Opportunity, Position: Goal low right, Accurate",4.0
Clearance,No specific tags,4.0
Ground defending duel,"Counter attack, Take on right, Lost, Not accurate",4.0
Reflexes,"Position: Goal high left, Accurate",4.0
Touch,"Counter attack, Feint",4.0
Shot,"Head/body, Opportunity, Position: Goal high right, Accurate",4.0
Ground defending duel,"Take on right, Sliding tackle, Anticipated, Lost, Not accurate",4.0
Shot,"Head/body, Opportunity, Position: Goal low left, Accurate",4.0
Shot,"Head/body, Position: Out low right, Not accurate",4.0
Ground attacking duel,"Interception, Take on right, Lost, Not accurate",4.0
Ground attacking duel,"Counter attack, Take on left, Lost, Not accurate",4.0
Shot,"Goal, Head/body, Opportunity, Position: Goal center left, Accurate",4.0
Ground defending duel,"Sliding tackle, Anticipated, Won, Accurate",4.0
Foul,Counter attack,4.0
Save attempt,"Position: Goal high left, Accurate",4.0
Shot,"Head/body, Blocked, Not accurate",4.0
Shot,"Left foot, Opportunity, Position: Goal high left, Accurate",4.0
Air duel,"Counter attack, Neutral, Accurate",4.0
Shot,"Goal, Right foot, Opportunity, Position: Goal center left, Accurate",4.0
Free kick shot,"Right foot, Direct, Opportunity, Position: Goal center, Accurate",4.0
Shot,"Goal, Counter attack, Right foot, Opportunity, Position: Goal low left, Accurate",4.0
Shot,"Goal, Left foot, Opportunity, Position: Goal high left, Accurate",4.0
